processed_tweets,label,predicted_label
layar menampilkan versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9929722547531128}]"
menteri pupr basuki hadimuljono bendungan sepaku semoi diproyeksikan infrastruktur penyediaan kebutuhan air baku pengendalian banjir,0.0,"[{'label': 'NEGATIVE', 'score': 0.9482321739196777}]"
menteri ketenagekerjaan ida fauziyah kebutuhan tenaga kerja sesuaikan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9507542848587036}]"
"metaverse hasil kolaborasi anak nusa mendukung baru
 
rest in peace 
malam minggu malam minggu
kanjuruhan",1.0,"[{'label': 'NEGATIVE', 'score': 0.9581106305122375}]"
salah satunya ayo selamat,1.0,"[{'label': 'NEGATIVE', 'score': 0.5654652118682861}]"
tahap  komitmen investasi rp  triliun,0.0,"[{'label': 'NEGATIVE', 'score': 0.6513389348983765}]"
optimis ekonomi   memprediksi pertumbuhan   ayo generasi muda mari membangun bersamasama inovasi kreativitas,1.0,"[{'label': 'NEGATIVE', 'score': 0.9708560705184937}]"
layar menampilkan versi avatar mengajak peserta memasuki versi digital,0.0,"[{'label': 'NEGATIVE', 'score': 0.9382628798484802}]"
liat versi metaverse jagat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9903036952018738}]"
gas pol infrastruktur  bendungan sepaku semoi dibangun amp balikpapan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9854123592376709}]"
meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9918370842933655}]"
menunjang infrastruktur pt brantas abipraya persero bendungan sepaku semoi desa tengin kecamatan sepaku kabupaten penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9775503277778625}]"
"kompetensi calon pekerja bersamasama membangun nusantara

 gas pol penyerapan tenaga kerja",0.0,"[{'label': 'NEGATIVE', 'score': 0.9851904511451721}]"
"bendungan sepaku berperan amp balikpapan

 gas pol infrastruktur",0.0,"[{'label': 'NEGATIVE', 'score': 0.9652715921401978}]"
pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara rombongan  kabupaten penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9825380444526672}]"
jagat hadirkan dunia virtual kota nusantara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9128982424736023}]"
 amp pemuda memasuki versi digitallalu mengajak bersatu sumpah pemuda adegan tampil layar meluncurkan platform digital berbasis interaksi sosial dunia virtual jagat jumat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9881440997123718}]"
mengajak pemuda memasuki versi digitallalu mengajak bersatu sumpah pemuda adegan layar meluncurkan platform digital berbasis interaksi sosial dunia virtual jagat nusantarajumat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9863691329956055}]"
tenaga kerja disesuaikan kebutuhan pelatihanpelatihan balai pelatihan vokasi samarinda balai pelatihan vokasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9951621890068054}]"
seniman air berkreasi menikmati hasilnya konser musik berolahraga pengalaman seru ayo generasi muda mari membangun inovasi kreativitas,1.0,"[{'label': 'NEGATIVE', 'score': 0.9691638946533203}]"
"bismillahirahmanirrahim sore resmi luncurkan jagat 

setelah layar menampilkan versi avatar mengajak peserta memasuki versi digital",0.0,"[{'label': 'NEGATIVE', 'score': 0.9793062806129456}]"
 meluncurkan platform dunia digital metaverse terhubung platform dunia digital bernama jagat platform diluncurkan bertepatan sumpah pemuda tanggal  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9962521195411682}]"
luncurkan platform digital jagat selamat askara  meluncurkan platform digital berbasis interaksi sosial dunia virtual bernama jagat acara peluncuran,0.0,"[{'label': 'NEGATIVE', 'score': 0.9876022338867188}]"
hadir acara menteri sek pratikno menteri bumn erick thohir menteri koperasi amp usaha menengah teten masduki wakil menteri pariwisata amp ekonomi kreatif angela tanoesoedibjo badan bambang susantono,0.0,"[{'label': 'NEGATIVE', 'score': 0.9703974723815918}]"
"tinjau infrastruktur progres baik

presiden meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober",0.0,"[{'label': 'NEGATIVE', 'score': 0.9922784566879272}]"
luncurkan versi virtualjokowi selamat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9789237976074219}]"
selasa  oktober  mengunjungi jalur laut kri escolar   jarak pelabuhan semayang balikpapan pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara ditempuh  jam,0.0,"[{'label': 'NEGATIVE', 'score': 0.99069744348526}]"
makan tu iknibu nusantarahahahakalau nkri nya dki jakartabro,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9632436037063599}]"
" versi avatar  mengajak peserta memasuki versi digital luncurkan platform digital jagat nusantara

keren yaa",0.0,"[{'label': 'NEGATIVE', 'score': 0.986417293548584}]"
info lagii udh jalanjalan virtual jagat gaslah mumpung gratis heheh,1.0,"[{'label': 'NEGATIVE', 'score': 0.9947899580001831}]"
bangga banget aplikasi dunia virtual ya jalan jalan aplikasi jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9521887302398682}]"
mudah an berbalikikn nusantarakalau nkri ibukota nya dki jakartasilahkan gubernur nya silahkan keluarin sumpah serapahkalau orang pulau jawa ngeluarin sumpah palapa gimanamau elunanti penghuni nya wna china disana,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9960837960243225}]"
"bismillahirahmanirrahim sore resmi luncurkan jagat jokowi

setelah layar menampilkan versi avatar mengajak peserta memasuki versi digital",0.0,"[{'label': 'NEGATIVE', 'score': 0.9770686030387878}]"
menteri bumn erick thohir persepsi pusat meninggalkan dki jakarta lantaran program,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9439244270324707}]"
 perusahaan rintisan memiliki dunia virtual platform terhubung,0.0,"[{'label': 'NEGATIVE', 'score': 0.9657526612281799}]"
"jagatio platforn dunia virtual terhubung nyata 
sumatera utara",1.0,"[{'label': 'NEGATIVE', 'score': 0.99641352891922}]"
"kerennya kita

presiden widodo meluncurkan metaverse khusus bernama jagat nusantara

baca artikel cnn luncurkan metaverse bernama jagat selengkapnya",1.0,"[{'label': 'NEGATIVE', 'score': 0.9861196279525757}]"
gratis jalanjalan jagat,1.0,"[{'label': 'POSITIVE', 'score': 0.82841557264328}]"
meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9918370842933655}]"
seniman air jg berkreasi amp menikmati hasilnya konser musik berolahraga pengalaman yg seru ayo generasi muda mari membangun bersamasama inovasi amp kreativitas,1.0,"[{'label': 'NEGATIVE', 'score': 0.9768861532211304}]"
layar menampilkan versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9929722547531128}]"
versi avatar mengajak peserta memasuki versi digital,0.0,"[{'label': 'NEGATIVE', 'score': 0.9399681091308594}]"
berbeda kunjungan selasa  oktober  rombongan jalur darat balikpapan tempuh  jam,0.0,"[{'label': 'NEGATIVE', 'score': 0.9930325150489807}]"
"info  jagat tampilkan dunia virtual baru

aceh mendukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.9772984981536865}]"
"news  jagat tampilkan dunia virtual baru

aceh mendukung",0.0,"[{'label': 'NEGATIVE', 'score': 0.9706453084945679}]"
" hadiri peluncuran platform digital jagat metaverse 
generasi muda bersatu bangun bangsa scr ekonomi riil ekonomi digital ayo dr selamat",1.0,"[{'label': 'NEGATIVE', 'score': 0.9859772324562073}]"
halu,0.0,"[{'label': 'POSITIVE', 'score': 0.8421454429626465}]"
kunjungi kaltim januari,0.0,"[{'label': 'NEGATIVE', 'score': 0.5498005151748657}]"
penipuan ko masif yasetiap aja,0.0,"[{'label': 'NEGATIVE', 'score': 0.9625336527824402}]"
"gubernur kaltim isran noor menyinggung pihakpihak setuju ikn
ia menekankan kepentingan nasional

tahu mayoritas kadrun setuju",-1.0,"[{'label': 'NEGATIVE', 'score': 0.985223650932312}]"
generasi muda bersatu membangun bangsa ekonomi riil ekonomi digital salah satunya ayo selamat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9915504455566406}]"
kenalkan namanya  jagat platform digital berbasis interaksi sosial dunia virtual aplikasi jalan jalan virtual versi digital,1.0,"[{'label': 'NEGATIVE', 'score': 0.9865226149559021}]"
menghimbau penerapan tenaga kerja sesuai kebutuhan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9222397804260254}]"
keberadaan jembatan pulau balang memiliki peran,0.0,"[{'label': 'NEGATIVE', 'score': 0.5404320359230042}]"
"selamat nusantara

menteri bumn  hadir acara peluncuran platform digital lokal jagat digelar djakarta theater jakarta pusat",0.0,"[{'label': 'NEGATIVE', 'score': 0.9436140656471252}]"
"sederet infrastruktur dasar  ini
antara bbpjn sarana jalan tol pendukung infrastruktur",0.0,"[{'label': 'NEGATIVE', 'score': 0.9705864191055298}]"
"kebijakan yg pakde 
benar pakde simbol identitas bangsa representasi kemajuan bangsaini terwujudnya pemerataan keadilan ekonomiini visi maju yg hidup selamalamanya

ikn",1.0,"[{'label': 'NEGATIVE', 'score': 0.9906845688819885}]"
"infrastruktur dasar dibangun sumber air nyawa nantipresiden jokowi

ketakutan finansial ari lasso
rehan lisa open po halloween",0.0,"[{'label': 'NEGATIVE', 'score': 0.9758922457695007}]"
"balai pelaksanaan jalan nasional bbpjn siapkan sarana jalan pendukung infrastruktur nusantara

selanjutnya jalan karang joang kariangau langsung pulau balang",0.0,"[{'label': 'NEGATIVE', 'score': 0.9366492033004761}]"
"ya
ibu kota
negara 
jagad nusantara
inves un konsesi  th",0.0,"[{'label': 'NEGATIVE', 'score': 0.9291579127311707}]"
"widodo meluncurkan metaverse khusus bernama jagat nusantara

metaverse hasil kolaborasi anak bangsa mendukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.9809752702713013}]"
menampilkan versi avatar mengajak peserta memasuki versi digital dlam video mengajak generasi muda untk bersatu bertepatn momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9952475428581238}]"
plt sesmenpora jonni mardizal beliau membuka resmi kemah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9931684136390686}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9912863373756409}]"
"plt sesmenpora jonni mardizal membuka resmi kemah pemuda  
semoga berjalan lancar",0.0,"[{'label': 'NEGATIVE', 'score': 0.991134524345398}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9912863373756409}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda  diadakan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9871113300323486}]"
plt sesmenpora jonni mardizal membuka resmi acara berkemah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9899082183837891}]"
"plt sesmenpora jonni mardizal membuka resmi kemah pemuda  
pasti seru banget nih",0.0,"[{'label': 'NEGATIVE', 'score': 0.9923794865608215}]"
bermakna banget nih dibukanya kemah plt sesmenpora jonni mardizal membuka resmi kemah pemuda,1.0,"[{'label': 'NEGATIVE', 'score': 0.9880141019821167}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda ya,0.0,"[{'label': 'NEGATIVE', 'score': 0.9916417598724365}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9912863373756409}]"
plt sesmenpora jonni mardizal membuka resmi kemah pemuda y,0.0,"[{'label': 'NEGATIVE', 'score': 0.9899778962135315}]"
ketua kpu hasyim asyari mengikuti daring puncak peringatan sumpah pemuda  disiarkan langsung jumat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9773834347724915}]"
hayo ngacung nolak nyinyirin,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9307088851928711}]"
peluncuran ditandai penekanan tombol didampingi badan bambang susantono founding chairman jagat wishnutama kusubandio,0.0,"[{'label': 'NEGATIVE', 'score': 0.9545639157295227}]"
ditambah alat transportasi nya mobil esemka berseliweran sudut,0.0,"[{'label': 'NEGATIVE', 'score': 0.9948151111602783}]"
" nusantara

kalau 
ibu  

kalau panglimanya aja nggak faham
gimana pasukannya  

kecuali  
ibu kolam nusanra",0.0,"[{'label': 'NEGATIVE', 'score': 0.9678305983543396}]"
versi avatar ditampilkan peluncuran platform digital berbasis interaksi sosial dunia virtual bernama jagat jumat  video masuk versi digital,0.0,"[{'label': 'NEGATIVE', 'score': 0.9914124011993408}]"
layar menampilkan versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9929722547531128}]"
 meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9918370842933655}]"
berbeda kunjungan  selasa  oktober  rombongan jalur darat balikpapan tempuh  jam,0.0,"[{'label': 'NEGATIVE', 'score': 0.9930325150489807}]"
"wakil menteri pariwisata ekonomi kreatif angela tanoesoedibjo badan bambang susantono

jakarta  oktober",0.0,"[{'label': 'NEGATIVE', 'score': 0.9440603256225586}]"
salah satunya ayo selamat berkumpul berkreasi bersosialisasi saudarasaudara video,1.0,"[{'label': 'NEGATIVE', 'score': 0.9839726686477661}]"
layar menampilkan  versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9929722547531128}]"
 meninjau infrastruktur kabupaten penajam paser utara progres infrastruktur bendungan pengembangan lahan akses jalan berjalan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9148671627044678}]"
"menteri koperasi usaha menengah teten masduki wakil menteri pariwisata ekonomi kreatif angela tanoesoedibjo badan bambang susantono

jakarta  oktober",0.0,"[{'label': 'NEGATIVE', 'score': 0.9587374329566956}]"
platform metaverse lokal jagat resmi meluncur dunia virtual terhubung nyata,0.0,"[{'label': 'NEGATIVE', 'score': 0.9889805912971497}]"
layar menampilkan versi avatar mengajak peserta memasuki versi digital,0.0,"[{'label': 'NEGATIVE', 'score': 0.9382628798484802}]"
meninjau infrastruktur  kabpenajam paser utara selasa  progres infrastruktur bendungan pengembangan lahan  akses jalan berjalan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9582482576370239}]"
meninjau infrastruktur ikndi kab penajam paser utarakalimantan selasa   progres infrastruktur bendungan pengembangan lahan akses jalan berjalan,0.0,"[{'label': 'NEGATIVE', 'score': 0.963252067565918}]"
layar menampilkan  versi avatar mengajak peserta memasuki   versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9929722547531128}]"
selamat berkumpul berkreasi bersosialisasi saudarasaudara video,0.0,"[{'label': 'NEGATIVE', 'score': 0.9815694689750671}]"
jagat platform dunia virtual terhubung nyata,1.0,"[{'label': 'NEGATIVE', 'score': 0.9923573732376099}]"
jagat platform dunia virtual yg terhubung dg nyata publik avatar masuk dlm dunia virtual utk berinteraksi pengguna,1.0,"[{'label': 'NEGATIVE', 'score': 0.9945568442344666}]"
gubernur kaltim isran noor menyinggung pihakpihak setuju,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9844277501106262}]"
gubernur isran noor masyarakat menolak pendek umur,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9786792397499084}]"
"nama dikenal dulu
jambi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9907768368721008}]"
menpora amali wakili hadiri puncak peringatan sumpah pemuda ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9706538319587708}]"
"badan bambang susantono

jakarta  oktober 
biro pers media informasi sekretariat presiden

website 
youtube sekretariat",0.0,"[{'label': 'NEGATIVE', 'score': 0.9746820330619812}]"
ayo generasi muda mari membangun bersamasama inovasi kreativitas,1.0,"[{'label': 'NEGATIVE', 'score': 0.98045414686203}]"
"meluncurkan metaverse khusus bernama jagat djakarta theatre jakarta jumat 

turut mendampingi menteri bumn  menteri koperasi amp ukm teten masduki",0.0,"[{'label': 'NEGATIVE', 'score': 0.9888522028923035}]"
"dunia konsen green city

ibu sejarah peradaban",1.0,"[{'label': 'POSITIVE', 'score': 0.6880782246589661}]"
keputusan memicu perbincangan publik perihal nama uang dikeluarkan dampak masyarakat adat dibangun,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9815068244934082}]"
"gubernur isran noor mendoakan orangorang menolak pendek umur


semoga doanya tdk berbalik kpdnya",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9909171462059021}]"
mendoakan orangorang menolak  pendek umur isran mengaku kesal tuduhan dilayangkan menurutnya alasan penolakan,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9645443558692932}]"
dibodohi ama org parpol wkwkwk parpol yg gk setuju pindah krn lahan korup berjamaah nya sulit jaman   yg krn yg skrg jd sarang tikus berdasi berjamaah,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9949528574943542}]"
mengunjungi iknpresiden  jalur darat selasa  menelusuri jalur laut kri escolar jarak pelabuhan semayang balikpapan pelabuhan cita sabutpenajam paser utara ditempuh  jam,0.0,"[{'label': 'NEGATIVE', 'score': 0.9870082139968872}]"
ratusan pemuda  provinsi memperingati sumpah pemuda menyepakati butir manifesto mendorong kemajuan bangsa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9870860576629639}]"
peluncuran layar menampilkan  versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9924064874649048}]"
mengunjungi selasa  rombongan menelusuri jalur laut kri escolar jarak pelabuhan semayangbalikpapan pelabuhan cita sabut kec sepaku penajam paser utara ditempuh  jam,0.0,"[{'label': 'NEGATIVE', 'score': 0.9900665283203125}]"
kementerian pemuda olahraga kemenpora mengadakan acara puncak peringatan sumpah pemuda hsp lokasi kabupaten penajam paser utara  november,0.0,"[{'label': 'NEGATIVE', 'score': 0.9812853336334229}]"
yg kaltim  tp,0.0,"[{'label': 'NEGATIVE', 'score': 0.7324538826942444}]"
smart defense pertahanan yg berbasis teknologi diplomasi amp kearifan lokal yg terintegrasi sbg strategi pertahanan laut spln yg bersifat semesta melibatkan komponen amp sumber daya nasional,0.0,"[{'label': 'NEGATIVE', 'score': 0.9707363247871399}]"
"hai sobatpora
kementerian pemuda olahraga republik kemenpora ri menggelar diskusi peserta kirab pemuda kabupaten penajam paser utara timurdiharap pertemuan melahirkan gagasan membangun bangsa",0.0,"[{'label': 'NEGATIVE', 'score': 0.9936822056770325}]"
"logo halal jawa
 logo g jawa
 qris dibaca kris jawa
 namanya asalnya jawa
 nama kereta jawa

jawa koenci",0.0,"[{'label': 'NEGATIVE', 'score': 0.997175931930542}]"
ratusan pemuda  provinsi memperingati sumpah pemuda menyepakati butir manifesto mendorong kemajuan bangsa adadikompas,0.0,"[{'label': 'NEGATIVE', 'score': 0.9865798354148865}]"
"halo sobatpora

peserta kirab pemuda kabupaten penajam paser utara kamis  membawa bendera masingmasing provinsi tersebar air",0.0,"[{'label': 'NEGATIVE', 'score': 0.984032392501831}]"
meninjau infrastruktur kabupaten penajam paser utara provinsi selasa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9798867702484131}]"
"payung hukum uu nomor   

jambi dukung",0.0,"[{'label': 'NEGATIVE', 'score': 0.9871466755867004}]"
"hai sobatpora

mewakili menteri pemuda olahraga republik menpora ri zainudin amali plt sesmenpora jonni mardizal membuka resmi kemah pemuda kabupaten penajam paser utara kamis",0.0,"[{'label': 'NEGATIVE', 'score': 0.9946417808532715}]"
"pahami alasan nama nusantara





 
kepulauan riau",0.0,"[{'label': 'NEGATIVE', 'score': 0.9060540795326233}]"
"tahukah alasan nama nusantara
kalimantan",0.0,"[{'label': 'NEGATIVE', 'score': 0.7405561804771423}]"
"dibangun merata





banten",1.0,"[{'label': 'NEGATIVE', 'score': 0.9737981557846069}]"
tenaga kerja disesuaikan kebutuhan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9968827366828918}]"
bendungan semoi sepaku dibangun  balikpapan,0.0,"[{'label': 'NEGATIVE', 'score': 0.7692309617996216}]"
"alasan nama nusantara

sumatera utara",0.0,"[{'label': 'NEGATIVE', 'score': 0.9685060381889343}]"
 datangkan bus listrik,0.0,"[{'label': 'NEGATIVE', 'score': 0.9926082491874695}]"
"nrgara dampak positif peningkatan ekonomi infrastruktur


gorontalo",1.0,"[{'label': 'NEGATIVE', 'score': 0.9533058404922485}]"
"pta samarinda diwakili salah hakim hadiri acara puncak peringatan sumpah pemuda hsp 







foto taken by 
adm  nisa",0.0,"[{'label': 'NEGATIVE', 'score': 0.995611846446991}]"
bersatu bangun bangsa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9754835367202759}]"
alasan pemberian nama daerah istimewa yogyakarta yogyakarta,0.0,"[{'label': 'NEGATIVE', 'score': 0.969412088394165}]"
kemah pemuda dilaksanakan rangkaian kegiatan puncak peringatan sumpah pemuda menghasilkan manifesto pemuda ketua panitia nasional sumpah pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9538790583610535}]"
kemah pemuda hasilkan manifesto pemuda,0.0,"[{'label': 'NEGATIVE', 'score': 0.8134068846702576}]"
pekerja tahap infrastruktur  mencapai  orang,0.0,"[{'label': 'NEGATIVE', 'score': 0.9297308325767517}]"
puncak peringatan sumpah pemuda  puncak peringatan sumpah pemuda  tgl  oktober  kabupaten penajam paser utara tema peringatan hsp  bersatu bangun bangsa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9888079762458801}]"
samarinda provinsi penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9697102904319763}]"
"kesempatan 

kemenkumham banten
tejo harwanto
kakanwil banten",0.0,"[{'label': 'NEGATIVE', 'score': 0.9915798306465149}]"
pusat ekonomi,0.0,"[{'label': 'POSITIVE', 'score': 0.9641597270965576}]"
kantor pertanahan kabupaten halmahera barat membacakan sambutan peringatan sumpah pemuda kesempatan mengajak elemen bangsa menghimpun kekuatan semangat bergerak,0.0,"[{'label': 'NEGATIVE', 'score': 0.9502964019775391}]"
festival diadakan sirkuit mandalika  november  dimeriahkan sederet artis wika salim,0.0,"[{'label': 'POSITIVE', 'score': 0.8246517777442932}]"
sejarah   peradaban,0.0,"[{'label': 'POSITIVE', 'score': 0.9237916469573975}]"
