tweets,politics,technology,topic
presiden jokowi gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun untuk penyediaan air baku di ibu kota nusantara dan balikpapan,0.5572,0.5258,technology & politics
presiden joko widodo menelusuri jalur logistik ikn dengan menggunakan kri escolar untuk menuju pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara kalimantan timur yang merupakan lokasi ibu kota nusantara,0.4445,0.4211,neutral
jagat memungkinkan anda untuk melanjutkan perjalanan ke ibu kota nusantara,0.5116,0.4745,technology & politics
kementerian pupr mulai membangun infrastruktur dasar pendukung kawasan inti pusat pemerintahan kipp ikn nusantara ibu kota baru begini penampakannya,0.5072,0.4894,technology & politics
wakil menteri pariwisata dan ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,0.5093,0.4335,politics
para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ungkapnya,0.5172,0.4586,politics
ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara di sini kita akan berkumpul berkreasi bersosialisasi dengan saudarasaudara kita ucap presiden dalam video tersebut,0.4964,0.4897,neutral
setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,0.5512,0.4294,politics
menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn,0.4504,0.4502,neutral
menteri ketenagekerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan di sesuaikan,0.4899,0.4618,neutral
"metaverse ikn nusantara ini adalah hasil kolaborasi berbagai anak nusa untuk mendukung pembangunan ibu kota negara baru
 
rest in peace 
malam minggu malam minggu
kanjuruhan",0.5179,0.5046,technology & politics
nah ini salah satunya ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara,0.5572,0.5455,technology & politics
untuk pembangunan ibu kota negara ikn nusantara tahap  ada komitmen investasi sebesar rp  triliun,0.4911,0.477,neutral
pemerintah optimis ekonomi   memprediksi pertumbuhan akan naik menjadi  pada  ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas,0.6045,0.5807,technology & politics
setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital,0.5792,0.4534,politics
liat ibu kota nusantara versi metaverse jagat nusantara,0.6359,0.6322,technology & politics
jokowi gas pol infrastruktur  bendungan sepaku semoi dibangun untuk ibu kota nusantara amp balikpapan,0.5551,0.5481,technology & politics
presiden joko widodo meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober,0.4809,0.4346,neutral
menunjang pembangunan infrastruktur di ibu kota nusantara ikn pt brantas abipraya persero bendungan sepaku semoi di desa tengin baru kecamatan sepaku kabupaten penajam paser utara kalimantan timur,0.4277,0.4174,neutral
"pemerintah menyiapkan kompetensi para calon pekerja yang akan bersamasama membangun ibu kota nusantara

 gas pol penyerapan tenaga kerja",0.6093,0.5634,technology & politics
"bendungan sepaku nantinya sangat berperan penting untuk ibu kota nusantara amp balikpapan

 gas pol infrastruktur",0.5297,0.523,technology & politics
setibanya di pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara presiden dan rombongan akan menuju titik nol  ibu kota nusantara ikn yang ada di kabupaten penajam paser utara,0.3364,0.3117,neutral
jagat hadirkan dunia virtual ibu kota nusantara,0.5985,0.5935,technology & politics
presiden  amp para pemuda memasuki ibu kota nusantara ikn versi digitallalu mengajak mereka bersatu di hari sumpah pemuda adegan itu tampil di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantara jumat,0.575,0.5328,technology & politics
presiden jokowi mengajak para pemuda memasuki ibu kota nusantara versi digitallalu mengajak mereka bersatu di hari sumpah pemuda itu adalah adegan di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantarajumat,0.5787,0.5177,politics
tenaga kerja di ibu kota nusantara disesuaikan dengan kebutuhan pemerintah juga menyiapkan melalui pelatihanpelatihan baik di balai pelatihan vokasi samarinda maupun balai pelatihan vokasi lainnya,0.478,0.447,neutral
para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersama melalui inovasi dan kreativitas ungkap presiden,0.5299,0.4764,politics
"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden 

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",0.5086,0.5038,technology & politics
presiden  meluncurkan platform dunia digital atau metaverse yang terhubung dengan ibu kota nusantara ikn platform dunia digital ini bernama jagat nusantara platform ini diluncurkan bertepatan dengan hari sumpah pemuda yaitu pada tanggal  oktober,0.6215,0.4899,politics
luncurkan platform digital jagat nusantara presiden jokowi selamat datang di ibu kota nusantara askara  presiden joko widodo meluncurkan platform digital berbasis interaksi sosial di dunia virtual bernama jagat nusantara acara peluncuran tersebut,0.5669,0.4507,politics
turut hadir dalam acara tersebut yaitu menteri sek negara pratikno menteri bumn erick thohir menteri koperasi amp usaha kecil menengah teten masduki wakil menteri pariwisata amp ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,0.4128,0.3726,neutral
"tinjau pembangunan infrastruktur ikn presiden jokowi ini progres yang baik

presiden jokowi meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober",0.5553,0.534,technology & politics
luncurkan ikn versi virtualjokowi selamat datang di ibu kota nusantara,0.5686,0.5126,politics
selasa  oktober  presiden jokowi mengunjungi ibu kota nusantara ikn melalui jalur laut dengan menggunakan kri escolar   jarak dari pelabuhan semayang kota balikpapan ke pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara ditempuh selama  jam,0.4444,0.4389,neutral
makan tu iknibu kota nusantarahahahakalau nkri ibu kota nya dki jakartabro,0.3382,0.3298,neutral
"presiden  versi avatar  mengajak para peserta memasuki ibu kota nusantara ikn versi digital saat luncurkan platform digital jagat nusantara

keren yaa",0.536,0.4703,politics
info lagii kalian udh bisa jalanjalan ke ibu kota nusantara secara virtual lewat jagat gaslah mumpung masih gratis heheh,0.477,0.4667,neutral
wah bangga banget sekarang ada aplikasi dunia virtual pertama di indonesia kapan lagi ya kan kalian bisa jalan jalan ke ibu kota nusantara lewat aplikasi jagat,0.5971,0.5573,technology & politics
mudah an berbalikikn itu ibu kota nusantarakalau nkri ibukota nya dki jakartasilahkan gubernur mau nya apa silahkan jangan keluarin sumpah serapahkalau orang di pulau jawa ngeluarin sumpah palapa gimanamau apa elunanti penghuni nya wna china disana,0.3274,0.2996,neutral
"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden jokowi

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",0.4629,0.4507,neutral
menteri bumn erick thohir meminta jangan ada persepsi pemerintah pusat meninggalkan dki jakarta lantaran ada program ibu kota baru ikn nusantara,0.5056,0.4562,technology & politics
setidaknya kini sudah ada  perusahaan rintisan yang memiliki dunia virtual di platform yang terhubung dengan ibu kota nusantara ikn itu,0.7067,0.6004,politics
"jagatio merupakan platforn dunia virtual pertama di indonesia yang terhubung dengan kota nyata yakni ibu kota nusantara ikn 
sumatera utara",0.5503,0.5476,technology & politics
"kerennya indonesia kita

presiden joko widodo meluncurkan metaverse khusus ibu kota negara ikn nusantara bernama jagat nusantara

baca artikel cnn indonesia jokowi luncurkan metaverse ikn bernama jagat nusantara selengkapnya di sini",0.4802,0.4717,neutral
masih gratis anda bisa jalanjalan ke ibu kota nusantara lewat jagat,0.5009,0.4304,politics
presiden jokowi meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober,0.4809,0.4346,neutral
para seniman tanah air jg dapat berkreasi amp menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yg seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi amp kreativitas ungkap presiden jokowi,0.4817,0.4434,neutral
layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,0.5512,0.4294,politics
presiden jokowi versi avatar akan mengajak para peserta memasuki ibu kota nusantara ikn versi digital,0.5998,0.531,politics
ada yang berbeda dalam kunjungan presiden joko widodo ke ibu kota nusantara ikn pada selasa  oktober  biasanya presiden dan rombongan menggunakan jalur darat dari balikpapan ke ikn dengan waktu tempuh selama  jam,0.5171,0.4841,technology & politics
"info  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",0.574,0.5348,technology & politics
"news  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",0.5499,0.5198,technology & politics
"pak  hadiri peluncuran platform digital jagat nusantara metaverse ikn 
generasi muda harus bersatu bangun masa depan bangsa baik scr ekonomi riil maupun ekonomi digital ayo ikut saya kita mulai dr sini selamat datang di ibu kota nusantara ucap presiden",0.5951,0.5192,politics
halu,0.6435,0.5658,politics
kunjungi ibu kota nusantara di kaltim jokowi pembangunan akan terlihat januari,0.4858,0.4638,neutral
penipuan ko semakin masif yasetiap hari ada aja,0.5668,0.5327,technology & politics
"gubernur kaltim isran noor menyinggung pihakpihak yang tak setuju terhadap pembangunan ibu kota nusantara ikn
ia menekankan bahwa pembangunan ikn merupakan kepentingan nasional

tahu sendiri mayoritas kadrun pasti tidak setuju",0.4446,0.398,neutral
para generasi muda harus bersatu untuk membangun masa depan bangsa baik secara ekonomi riil maupun ekonomi digital nah ini salah satunya ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara,0.6537,0.6049,technology & politics
kenalkan namanya  jagat nusantara platform digital berbasis interaksi sosial di dunia virtual aplikasi jalan jalan virtual menuju ibu kota nusantara ikn versi digital,0.6349,0.5452,politics
presiden jokowi menghimbau untuk penerapan tenaga kerja di ibu kota nusantara sesuai dengan kebutuhan,0.6223,0.5145,politics
keberadaan jembatan pulau balang memiliki peran penting dalam pembangunan ibu kota nusantara ikn,0.5211,0.5125,technology & politics
"selamat datang di ibu kota nusantara

menteri bumn  turut hadir dalam acara peluncuran platform digital lokal jagat nusantara digelar di djakarta theater jakarta pusat",0.4738,0.4639,neutral
"sederet pembangunan infrastruktur dasar ibu kota nusantara atau ikn nusantara di kalimantan timur dimulai pada  ini
antara lain bbpjn telah menyiapkan pembangunan sarana jalan tol dan pendukung pembangunan infrastruktur ibu kota nusantara atau ikn nusantara",0.5835,0.5732,technology & politics
"kebijakan yg tepat dari pakde jokowi 
benar kata pakde ibu kota bukan hanya simbol identitas bangsa tetapi juga representasi kemajuan bangsaini demi terwujudnya pemerataan dan keadilan ekonomiini demi visi indonesia maju indonesia yg hidup selamalamanya

ikn nusantara",0.5266,0.503,technology & politics
"infrastruktur dasar dan paling awal dibangun di ikn nusantara adalah sumber air karena akan jadi nyawa ibu kota baru nantipresiden jokowi

ketakutan finansial ari lasso
rehan lisa open po halloween",0.5139,0.5086,technology & politics
"balai besar pelaksanaan jalan nasional bbpjn telah siapkan pembangunan sarana jalan dan pendukung pembangunan infrastruktur ibu kota nusantara atau ikn nusantara

selanjutnya pembangunan jalan dari karang joang menuju kariangau langsung ke pulau balang",0.3838,0.376,neutral
"ya
ibu kota
negara baru 
jagad nusantara
inves dong un konsesi  th",0.4731,0.4453,neutral
"presiden joko widodo meluncurkan metaverse khusus ibu kota negara ikn nusantara bernama jagat nusantara

metaverse ikn nusantara ini adalah hasil kolaborasi berbagai anak bangsa untuk mendukung pembangunan ibu kota negara baru",0.4929,0.4677,neutral
menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dlam video tersebut presiden jokowi juga mengajak para generasi muda untk bersatu bertepatn dengan momen hari sumpah pemuda,0.4891,0.4341,neutral
plt sesmenpora jonni mardizal mengatakan bahwa beliau telah membuka secara resmi kemah pemuda indonesia di ibu kota nusantara,0.4896,0.4669,neutral
