tweets,politics,technology,topic,translated_tweets
luncurkan platform digital jagat nusantara presiden jokowi selamat datang di ibu kota nusantara askara  presiden joko widodo meluncurkan platform digital berbasis interaksi sosial di dunia virtual bernama jagat nusantara acara peluncuran tersebut,0.5669,0.4507,politics,"during the launched of digital nusantara, president welcome people to nusantara new capital"
turut hadir dalam acara tersebut yaitu menteri sek negara pratikno menteri bumn erick thohir menteri koperasi amp usaha kecil menengah teten masduki wakil menteri pariwisata amp ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,0.4128,0.3726,neutral,"ministers pratikno, tohir, tanoesudibjo, are also present on the event"
"tinjau pembangunan infrastruktur ikn presiden jokowi ini progres yang baik

presiden jokowi meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober",0.5553,0.534,technology & politics,"observing the infrastructure construction, president said this is a good progress"
luncurkan ikn versi virtualjokowi selamat datang di ibu kota nusantara,0.5686,0.5126,politics,president welcome people to the new capital
selasa  oktober  presiden jokowi mengunjungi ibu kota nusantara ikn melalui jalur laut dengan menggunakan kri escolar   jarak dari pelabuhan semayang kota balikpapan ke pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara ditempuh selama  jam,0.4444,0.4389,neutral,on tuesday in october the president visited the new capital by sea covering the distance between semayang port in balikpapan and 
makan tu iknibu kota nusantarahahahakalau nkri ibu kota nya dki jakartabro,0.3382,0.3298,neutral,the capital of indonesia is jakarta
"presiden  versi avatar  mengajak para peserta memasuki ibu kota nusantara ikn versi digital saat luncurkan platform digital jagat nusantara

keren yaa",0.536,0.4703,politics,president in avatar version invites people into the digital capital
info lagii kalian udh bisa jalanjalan ke ibu kota nusantara secara virtual lewat jagat gaslah mumpung masih gratis heheh,0.477,0.4667,neutral,"for your information, you can visit the virtual capital for free, lets go"
wah bangga banget sekarang ada aplikasi dunia virtual pertama di indonesia kapan lagi ya kan kalian bisa jalan jalan ke ibu kota nusantara lewat aplikasi jagat,0.5971,0.5573,technology & politics,"very proud of the new virtual applications, you can now tour the new capital through this applications"
mudah an berbalikikn itu ibu kota nusantarakalau nkri ibukota nya dki jakartasilahkan gubernur mau nya apa silahkan jangan keluarin sumpah serapahkalau orang di pulau jawa ngeluarin sumpah palapa gimanamau apa elunanti penghuni nya wna china disana,0.3274,0.2996,neutral,the capital of indonesia is jakarta
"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden jokowi

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",0.4629,0.4507,neutral,"with bismillah on this afternoon I officially launced jagat nusantara, said the president"
menteri bumn erick thohir meminta jangan ada persepsi pemerintah pusat meninggalkan dki jakarta lantaran ada program ibu kota baru ikn nusantara,0.5056,0.4562,technology & politics,minister thohir requested that public don�t assume the government will dismiss jakarta because of the new capital program
setidaknya kini sudah ada  perusahaan rintisan yang memiliki dunia virtual di platform yang terhubung dengan ibu kota nusantara ikn itu,0.7067,0.6004,politics,at least now there is a pioneer company that owns digital platform connected to new capital
"jagatio merupakan platforn dunia virtual pertama di indonesia yang terhubung dengan kota nyata yakni ibu kota nusantara ikn 
sumatera utara",0.5503,0.5476,technology & politics,jagat is the new digital platform connected to the new capital
"kerennya indonesia kita

presiden joko widodo meluncurkan metaverse khusus ibu kota negara ikn nusantara bernama jagat nusantara

baca artikel cnn indonesia jokowi luncurkan metaverse ikn bernama jagat nusantara selengkapnya di sini",0.4802,0.4717,neutral,our indonesia is so cool
masih gratis anda bisa jalanjalan ke ibu kota nusantara lewat jagat,0.5009,0.4304,politics,it is free to visit the new capital through jagat
presiden jokowi meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober,0.4809,0.4346,neutral,on tuesday in october the president went to observe the construction of new capital
para seniman tanah air jg dapat berkreasi amp menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yg seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi amp kreativitas ungkap presiden jokowi,0.4817,0.4434,neutral,"a space for artists to create, for us to enjoy the results such as music concerts, also space for sports"
layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,0.5512,0.4294,politics,president invites youths to unite in the moment of national youth day
presiden jokowi versi avatar akan mengajak para peserta memasuki ibu kota nusantara ikn versi digital,0.5998,0.531,politics,president jokowi avatar version will invite people to digital version of the new capital
ada yang berbeda dalam kunjungan presiden joko widodo ke ibu kota nusantara ikn pada selasa  oktober  biasanya presiden dan rombongan menggunakan jalur darat dari balikpapan ke ikn dengan waktu tempuh selama  jam,0.5171,0.4841,technology & politics,usually the president uses land route
"info  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",0.574,0.5348,technology & politics,jagat nusantara presents virtual world of the new capital
"news  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",0.5499,0.5198,technology & politics,news jagat nusantara presents the virtual new capital
"pak  hadiri peluncuran platform digital jagat nusantara metaverse ikn 
generasi muda harus bersatu bangun masa depan bangsa baik scr ekonomi riil maupun ekonomi digital ayo ikut saya kita mulai dr sini selamat datang di ibu kota nusantara ucap presiden",0.5951,0.5192,politics,the new generations must be united to build the future of the country
halu,0.6435,0.5658,politics,hello
kunjungi ibu kota nusantara di kaltim jokowi pembangunan akan terlihat januari,0.4858,0.4638,neutral,"visiting the new capital, president said that development will be observable in january"
penipuan ko semakin masif yasetiap hari ada aja,0.5668,0.5327,technology & politics,a
"gubernur kaltim isran noor menyinggung pihakpihak yang tak setuju terhadap pembangunan ibu kota nusantara ikn
ia menekankan bahwa pembangunan ikn merupakan kepentingan nasional

tahu sendiri mayoritas kadrun pasti tidak setuju",0.4446,0.398,neutral,east kalimantan governor mentioned those who did not agree with capital city relocation
para generasi muda harus bersatu untuk membangun masa depan bangsa baik secara ekonomi riil maupun ekonomi digital nah ini salah satunya ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara,0.6537,0.6049,technology & politics,the new generations must be united to build the future of the country
kenalkan namanya  jagat nusantara platform digital berbasis interaksi sosial di dunia virtual aplikasi jalan jalan virtual menuju ibu kota nusantara ikn versi digital,0.6349,0.5452,politics,introducing jagat nusantara digital platform
presiden jokowi menghimbau untuk penerapan tenaga kerja di ibu kota nusantara sesuai dengan kebutuhan,0.6223,0.5145,politics,president suggests that the new capital absorbs workforces as needed
keberadaan jembatan pulau balang memiliki peran penting dalam pembangunan ibu kota nusantara ikn,0.5211,0.5125,technology & politics,balang island bridge holds important role in the development of new capital
"selamat datang di ibu kota nusantara

menteri bumn  turut hadir dalam acara peluncuran platform digital lokal jagat nusantara digelar di djakarta theater jakarta pusat",0.4738,0.4639,neutral,welcome to the new capital
"sederet pembangunan infrastruktur dasar ibu kota nusantara atau ikn nusantara di kalimantan timur dimulai pada  ini
antara lain bbpjn telah menyiapkan pembangunan sarana jalan tol dan pendukung pembangunan infrastruktur ibu kota nusantara atau ikn nusantara",0.5835,0.5732,technology & politics,construction of infrastructure starts today
"kebijakan yg tepat dari pakde jokowi 
benar kata pakde ibu kota bukan hanya simbol identitas bangsa tetapi juga representasi kemajuan bangsaini demi terwujudnya pemerataan dan keadilan ekonomiini demi visi indonesia maju indonesia yg hidup selamalamanya

ikn nusantara",0.5266,0.503,technology & politics,the new capital is a representation of the country's advancement
"infrastruktur dasar dan paling awal dibangun di ikn nusantara adalah sumber air karena akan jadi nyawa ibu kota baru nantipresiden jokowi

ketakutan finansial ari lasso
rehan lisa open po halloween",0.5139,0.5086,technology & politics,the first infrastructure to be built is water source
"bendungan sepaku nantinya sangat berperan penting untuk ibu kota nusantara amp balikpapan

 gas pol infrastruktur",0.3838,0.376,neutral,sepaku dam is important for the new capital
"ya
ibu kota
negara baru 
jagad nusantara
inves dong un konsesi  th",0.4731,0.4453,neutral,"yes, new capital city"
"presiden joko widodo meluncurkan metaverse khusus ibu kota negara ikn nusantara bernama jagat nusantara

metaverse ikn nusantara ini adalah hasil kolaborasi berbagai anak bangsa untuk mendukung pembangunan ibu kota negara baru",0.4929,0.4677,neutral,president launched jagat nusantara
menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dlam video tersebut presiden jokowi juga mengajak para generasi muda untk bersatu bertepatn dengan momen hari sumpah pemuda,0.4891,0.4341,neutral,presenting the president in avatar version inviting people to the new capital
plt sesmenpora jonni mardizal mengatakan bahwa beliau telah membuka secara resmi kemah pemuda indonesia di ibu kota nusantara,0.4896,0.4669,neutral,jonni mardizal officially opens youth camp at new capital
